name;description;long;lat;idquartier;largeur;longueur;adresse
kml_68;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>747</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Aristide Briand (avenue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>";-1.65801862895056;48.1101932146058;;3.3;4.1;parking Aristide Briand-Sergent maginot  face au n°119 avenue Aristide Briand  -  Aristide Briand (avenue)
kml_680;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>657</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Polieux (rue des)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>devant ";-1.69056079071608;48.1101612760466;;1.9;5.5;devant le n°7  -  Polieux (rue des)
kml_681;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>658</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Polieux (rue des)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>devant ";-1.68977589701425;48.1101310554244;;2;5;devant le n°8  angle rue des Polieux et rue Léon Etienne  -  Polieux (rue des)
kml_682;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>1285</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Geneviève de Gaulle-Anthonioz (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRES";-1.67604043794903;48.0933815302775;;0;0;au droit du N°2  -  Geneviève de Gaulle-Anthonioz (rue)
kml_683;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>683</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Yves Mayeuc (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>Face au";-1.68922779237854;48.111226647845;;1.9;5;Face au n°9  -  Yves Mayeuc (rue)
kml_684;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>137</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Châtillon (rue de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au dro";-1.67211205859831;48.098401242531;;2;5;au droit du n° 48  -  Châtillon (rue de)
kml_685;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>500</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Châtillon (rue de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au n° ";-1.67190598742562;48.0968074226942;;2;5;au n° 72  -  Châtillon (rue de)
kml_686;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>767</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Chatillon (rue de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>Au n°5";-1.6720725076231;48.0979644852244;;2;5;Au n°58  -  Chatillon (rue de)
kml_687;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>644</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Châtillon (rue de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>avant ";-1.67574253218445;48.1023412952936;;2;5;avant le n°10  -  Châtillon (rue de)
kml_688;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>368</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Corentin Carré (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au n";-1.67414972956391;48.098251963325;;2;5;au n° 23  -  Corentin Carré (rue)
